asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000A6T1X6	The Duchess of Duke Street - Series 1	A6H4T4JBT8CVS	21National	interested in period covered.  And the movie.reviewed helped to make my choiceof The DUCHESS OF DUKE STREET&#62;BOTH SEASON 1 OR SEASON 2,,,small periods boring.but all in all very interesting	4.0	Duchess of Duke Street Season ! and 2	2014-01-23	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	AA40PH3IDJFOQ	3granddaughters	It started off slowly, but each episode is more and more addictive.  It is funny, touching, and meaningful.  It redefines the concept of family...with great character development.	5.0	Great Series	2014-06-28	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A393LFB8PD402W	Abby	Reminds me of All Creatures Great and Small-every week was a continuation of the story and I loved to get to know each character better.Also because of the short season for Downton Abby I wanted more good shows to follow.I like the format on my Kindle HD Fire.	4.0	Great English Fun	2013-06-03	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A18NIX1QH8L1Z9	Abio	I was in a &#34;Downton Abbey&#34; frame of mind, hence my selection of this series....Love, love, love period pieces (like Downton Abbey) and this series satisifed that  yearning.  The main character, Louisa, was entertaining and brilliant.  She kept my interest in the series going from one episode to the next and from series one to series two.  The Duchess... was educational, informative and entertaining.  I learned that  the issues women faced back in the day were surprisingly, similar to the issues  women face today... whether the issue centered on a career minded person, like Louisa, or leaned towards the domestic, stay at home care taker.  Louisa, was exception to the rule, for she chose to have a career and  life path ...she was true to herself and to all who surrounded her...excellent series to involve yourself in for a turn of the century experience.	4.0	In a Downton Abbey Frame of Mind	2014-01-16	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A1TO09E8NZXIKK	"A. Gift For You ""As if...."""	Not at all what I expected.  Louisa was a silent-feminist - good role model for someone from the Edwardian period. But cor blimey her voice was terrible. The Lord (Christopher Casanova) kept me intrigued.	4.0	Great storyline.	2014-04-10	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A2NRDBBKCLC3OR	"A. Hewitt ""old nerd"""	Very nicely done. Fast-moving and fascinating. Gemma Jones is outstanding as the title character, a determined woman who is an intriguing blend of saint and sinner.Good script, good cast, solid production values. A period piece without quaintness. Excellent television.Watch this! You won't regret it.	5.0	Very nicely done. Fast-moving and fascinating	2014-07-11	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A1GL32GNX83AZ2	Airport FAn	I discovered this here on amazon and fell in love again I remember it well when I was a teenager on PBS and then found the books written afterwards,  It is like finding a old friend	5.0	Awesome to see this again	2013-08-18	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A3EV03GA9LCXDT	"Alan ""Alan C. Thomas"""	The show is from the '70s but it continues to be wonderful to watch today!  Television producers could learn much from the English producer.  No one does television better than the Brits, so watch and enjoy!!	5.0	This is entertainment!	2013-02-26	2	1	1
B000A6T1X6	The Duchess of Duke Street - Series 1	AEKZL04PZT00E	"Alberta Camus ""AlCa"""	This is a magnificent Cinderella tale, though to characterize it as such does it no justice.  After having first seen it years ago on Masterpiece Theater, I saw that videos were for sale (Parts 1 and 2).  That was years later and the cost was exorbitant.  Then it was offered a few years later and the price was something like $100.  I didn't go for it.  I am so glad it is on Netflix.  Gemma Jones who plays Louisa is fabulous.  The acting, the storyline (taken from true events), the costumes, the sets, all transport one into a wonderful world of life drama.  This is a no-miss hit.	5.0	Still one of the best series around for those who like period works.	2014-02-22	0	0	0
B000A6T1X6	The Duchess of Duke Street - Series 1	A3NX81EW2V5K8I	Alexander W. Stick	I enjoyed the accents, clothing as well as the writing... The aim character is just that a character don't miss it	5.0	London hotel secrets	2013-12-19	0	0	0
