asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	I was a teenager when this came out...and it was the first movie I ever bought!!  I still enjoy it today!  A classic!  You will not be disappointed in this one!  The girl gets the guy, the crabby crab is funny, funny, funny and the story will keep you watching to the end! If you don't own this one - WHAT ARE YOU WAITING FOR!!?1smileycat :-)	5.0	"A ""MUST HAVE"" for ALL video libraries!"	2003-03-17	5	4	1
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A23LXC5EJBM5UH	8bitPunk	"I purchased this movie for my 4 year old niece, who loves and adores Ariel.  Since watching the film, she has taken to leaning against large rocks (imitating Ariel when the ocean splashes up behind her as she poses on a rock), and singing to her toys.When I purchased the DVD, it was less than $15 (on amazon), at the time of this writing, the price has skyrocketed above $50.Another bonus, in addition to the added material contained on the disks, is the removal of the ""Phallic Symbol"" on the underwater castle, and the ""questionable accents"" on the pants of the priest who performs the wedding ceremony between The Prince and Ursula.It should be a crime to deny a child access to this wonderful story filled with beautiful songs and vivid imagery."	5.0	I've got gadgets and gizmo's aplenty...	2012-07-04	0	0	0
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A3DUWZU118743Z	aaaaaaaa	4 year old girl loves this movie.  as does her mom.  as does her grandmother.  and all her aunts.  and me.	5.0	great disney movie	2013-06-15	1	0	1
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	ADEJMGQFZNREB	A. Alvarez	Did not include the digital copy as advertised or as described on the package.  I am returning for a replacement.	2.0	Did not include the digital copy as advertised	2013-11-30	2	0	2
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A1POPRKWFB5N39	Aaron Anderson	How can you go wrong with Disney. These sets are great. You get 3 discs to cover all your player needs. Awesome	5.0	Disney	2014-06-16	0	0	0
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A3PFBH26G48ZOO	Aaron Bachler	I love the The Little Mermaid.  As a film, it's a true gem in the Disney vault.  The reason I gave it 3 stars is I bought the 3D version and was very disappointed.  I'm sure you're thinking &#34;well it wasn't made for the 3D&#34;.  That's very true, but there's been a few conversions of 2D to 3D that were amazing.  Finding Nemo comes to mind.  Disney should have left this one as a 2D film and saved people the extra money.	3.0	Great movie, terrible 3D	2013-11-08	1	1	0
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	AY2720FZ88AJ5	"Abi & Liam's Mom ""Suzanne"""	My daughter has been hard core about The Little Mermaid for about a year and a half now.  We paid $50 on another auction site in the heat of the moment last year.  It was worth it.	5.0	Must have for all princesses!	2004-09-17	5	3	2
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A1M3N19TU4QRCE	A. Boedecker	Ordered this for our 21-year-old granddaughter who watched it as a video with her daddy when she was around 3 yrs. old.  He was killed in a car accident when was about 3 1/2 yrs. old.  She watched it so much later that she completely wore it out.  She was very happy to receive it in DVD form.  The shipping was very timely.	5.0	DVD	2010-01-30	1	0	1
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A3L9X60LWG273	Ace Macleod	One of the best Disney Cartoons ever! When my sons were toddlers we watched this movie almost daily for over two years and my wife and I still watch it on occasion! The seller promised to send the DVD within three weeks and I received it in five days and in brand new condition!	5.0	Faster then Promised!	2011-07-23	0	0	0
0788812408	The Little Mermaid (Fully Restored Special Edition) [VHS]	A2ASMFFAP3AGBK	AC	How can you say a bad thing about the Little Mermaid?  Or my experience watching it with my 6 year old?	5.0	Classic!	2014-06-05	2	1	1
