asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0310263662	The Passion of the Christ	A199545U14YERT	"#1 Kiss Army Soldier ""Ramiro"""	I saw this movie on the premier, I was on first row, on the center that afternoon with my mom and dad. When it started everybody just shut up. It got interesting from the begining when Jesus starts praying in the garden and Judas betrays him. In the parts where I almost cover my eyes where on the part of the whips and chains and those things. The part where he carries the cross was one of the saddest things for me.Now we'll talk about the performances. The best performance in the movie was Caviezel's. He was the best Christ I've ever seen in movies. He looked so much like the Jesus. I think the best actor who played Christ. Then there is Mary, Jesus's mother. Did you know that the actress who played the Virgin Mary is Juish ? Her expressions were very well done. Her sadness was  incomparable. She is one of the best actress I've seen to this day. Then there is Satan. I do not know who the hell (haha) plays Satan, but she/he (I think it's a SHE) plays the part very...coldly, very...frightening. Good performance too.The movie itself was TOOOOOO violent. It's the same story, but the last twelve hours of Christ, but expressed in a very explict graphic and violent scenes. I bet you know more than two people died of watching Jesus being beat up with whips and chains and weapons. I didn't enjoy that at all. The performances were uncomparable. This movie is the most famouis R-rated movie of all times, I think you do not know that, but there are always some exceptions. It is one of the movies that you feel like you don't wanna see twice.There was also tons of strange stuff that happened during the making of the movie, I think most of you know, but for those who do not know I'll mention some of them below.When James Caviezel was crucified, I lightning stroke on his right shoulder. They had to stop the filming until he had to get better. Then, on the scenes in which he carries the cross he dislocates his shoulder (I don't remember which one it was) and they had to stop the filming for another three to six weeks. Then there was the part in the movie where Jim is taken to see some guy who looked weird that had make-up and a wig (I do not remember who that was) and when that guy spoke his lines from the script, he said other strange stuff he didn't wanna say and he had no control of it. Freaky, I know. At the part of the whipping, Jim Caviezel obviously pretended to be taken the hits, except three or four, some of those times when Caviezel was being hit with whips, they really hit him in the back a couple of times. In an interview, Caviezel explained that and he said he felt what Jesus himself felt when he was being punished. There were much more strange things that happened but I think if you buy this WIDESCREEN or FULLSCRENE edition DVD, I think if you access the SPECIAL FEATURES menu, then there should be some intervies in which Caviezel explains everythink.Buy this DVD or the FULLSCREEN formate. There are no different except on the screen, obviously. I am not that kind of a person in which likes to watch Jesus getting punished. It's sad.	5.0	Mel and Jim are just fantastic !!!	2005-01-20	8	5	3
0310263662	The Passion of the Christ	A3NPR05DRQGHU4	2bhappyinlove	This movie gives the most accurate portrayal of what really happened to Jesus.  Other movies make it much gentler.  But because He said He is the Son of God, they gave Him an extra beating. He really did suffer for us.	5.0	Most accurate	2014-03-25	2	1	1
0310263662	The Passion of the Christ	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"There's one thing about ""The Passion of Christ"" that highlights its authenticity:  No one remains neutral after seeing it.  Most of the work seeks the genuine passion; some of it is interpretational; but all of it is intensely passionate.  Mel Gibson didn't simply recreate the scenes well and give history its native tongue, he also presented intensity and humanness in a very real way.  If we are to believe that there was a God-man who died a cruel death on all of our behalf, then that Emmanuel was made human and divine by Jim Caveziel, better than any other actor.  We can make all we can out of our past and ""the good old days"" when America seemed more like Christendom, but theatre goers of old would not accept this suffering Jesus, so at least in our post-Christendom time, we at least accept ""The Passion"" well enough from several sectors to be able to embrace the whole package.  As a spiritual event, ""The Passion of Christ"" is unvarnished, broadening our horizons of appreciation and compunction.  As history or entertainment, it may be merely a fascinating reinactment of a horrific death penalty for a major philosophical and charismatic leader.Specifically, the focus and intensity of Judas's betrayal, Christ's Passion in the Garden, and his arrest are done with dramatic, slow-motion timing.  The extent of Jesus's suffering has been commented on truly enough, but the ordeal is certainly brought in long and vivid detail.  There is certainly a perfectionism in Gibson's rendering of each torturous moment.  If we doubt the divineness presented, then how about the love and forgiveness presented under torturous circumstances ""Look, mother, I make all things new!""  Then, if there's incredulousness about the human traits, see similarly, the flashbacks of memory to a playful time with his mother or Caveziel shaking and looking with dread as they save their worst whips for last during the scourging.  The presentation of the devil and Judas's anguish after his betrayal are fine interpretive moments.  If you think the text is too harsh on the Pharisees, then just read the Bible.  If you think that Pontius Pilate isn't the political weasel presented or the Roman soldiers were too rough, then think again.""The Passion of Christ"" is a courageous and authentic reinactment of the Passion and Death of Christ.  For the two-plus hours we go through this confrontation, we are relieved by some beautiful and necessary flashbacks that are well highlighted.  It is an awesome film."	5.0	"""It Is as It Was!"" True, Even If Not Said!"	2006-06-20	17	10	7
0310263662	The Passion of the Christ	A12JWQRIP5SOCX	"""555557777777"""	People still need to hear it.  More so now than ever before in a very selfish self-centered generation.  The true message to focus on after the movie is HE IS RISEN and seated AT THE RIGHT HAND OF GOD, EVER MAKING INTERCESSION FOR US.  God has never stopped making Eternal Life available thru His son.Some will not hear and some will come...........	5.0	Super adaptation of the last days of Jesus's life!	2004-03-05	4	1	3
0310263662	The Passion of the Christ	A3ELDRIQJ3CC7A	"Aaron E. Munn ""magnulus"""	"This is a good film all in all, and I've not seen it before till this year.  I had heard bad things about it, that it was intenitonally anti-Semitic or that it was nothing more than a bloody Jesus snuff film, but I dediceded to watch this film just to be fair.It is definitely views the Crucifiction from a more Catholic viewpoint, complete with extra-biblical imagery (crows eating the eye of a thief after he mocks Jesus, Mary Magdalene being equated with the sinful woman that Jesus rescues from stoning, which may or may not be nothing more than medieval stories).Unlike alot of other movies depicting the Crucifiction, the imagery used here is horrific and shocking, but never gratuitous as in a slasher film.  The banality of evil is not glossed over, just as in Gibson's other film Apocalypto.  The evil is not redeemed not by cheap moralism, but by Jesus character as a figure that actually believed in what he said, in his life and in his death.  Gibson's cleverly interposes pictures of Jesus teachings in with scenes of the crucifiction.  A cut to less bloody times with birds chirping on a sunny, grassy hill, and Jesus preaching the Sermon on the Mount, with his teaching to love your enemies, is juxtaposed with Jesus bloody and dying, and praying to God to forgive his executioners because of their ignorance: the teaching has been fulfilled.Also, I can somewhat understand the appeal of Maran devotion.  Throughout the film, Mary's story is weaved with the story of Jesus to reveal the early Christian community participating in the life of Jesus and his suffering, not something in an isolated manner that they sit back and watch.  After Peter's denial, he has a mental breakdown, the women-disciples try to comfort him. It is a deeply human appreciation that I don't think alot of Protestants would initially understand, the ""Communion of Saints"" is more than a sunday-morning soundbite in a creed.My only critique is that it portrays Pontius Pilate as being a rather sympathetic character- at most he is a moral coward faced with two difficult choices.  Honestly the biblical accounts dont' give alot of evidence either way, although historically Pontius Pilate wasn't know for being very humane.  On the other hand, it doesn't gloss over the cruelty of the Romans.  The Romans are portrayed as mostly savage thugs, with a few sympathetic characters.  Likewise, not every Jew in the Sanhedrin is portrayed as being hopelessly wicked, although they are generally portrayed as pompous religious fanatics.  King Herod is portrayed as being a demented man-child, which seems to be accurate to the biblical account as well."	4.0	not what I expected	2008-10-14	0	0	0
0310263662	The Passion of the Christ	A2GOAEF0ZRNG13	Aaron	If I could rate this zero stars I would. A totally perverted view of the Story of Christ. A base film that totally panders to a bloodthirsty audience with short attention spans.  It's no wonder it was a hit. It offers nothing of the teachings of Christ to a novice. If you want to see a moving well made version of this story, seek out Pier Paolo Pasolini's The Gospel According to St. Matthew. Gibson is laughing all the way to the bank!	1.0	The Bible as action movie	2004-08-08	50	18	32
0310263662	The Passion of the Christ	AK0UMLJ1LM5WO	Abby	"The Passion of the Christ is  a Pointless movie... all it does is depict a lot of unnecassary suffering. If Jesus thought he was alleviating us of a burden then he was wrong, we all have to suffer. The pain he went through is best seen (to me anyways) as symbolic, a physical representation of the spiritual suffering we all must go through in order to arrive at the truth within ourselves...""To truly find God, truth needs to be found independently from the opinions of others. The truth has to be found in our hearts."" --A.H.AlmaasIf you're trying to find some nugget of truth within this movie... I would say it is that sometimes, as Jesus has done, we must go against the majority, even if it means suffering. Right now the majority happens to be hypocritical bible thumpers. Christianity has become a raging cult, Jesus would be agonizingly disappointed in. I urge anyone who reads this to please, for your own sake, think independently of others.Oh, and one more thing. Don't bring your children to this movie unless you want them to be traumatized. Just remember, therapy is expensive these days....."	2.0	Jesus would be disappointed in you all...	2004-09-02	38	13	25
0310263662	The Passion of the Christ	AXSNNFROR5O5H	"abcpc1 ""abcpc1"""	THE 'FEEL GOOD' MOVIE OF THE YEAR....SEE IT WIT YO KEEEEEEYUDS!  Oye, I hate CONTRIVED HYSTERIA!	5.0	"""OOOOOOCH....HEY THAT HURT A-HOLE""!"	2004-08-30	30	2	28
0310263662	The Passion of the Christ	A3HQXFLZ6WI70Q	Abdul Fazrul	Bluray is superb. Movie?Language is in Aramaic and the way they speak it is not believable (it's like saying 1 word at a time and stopping for 2 seconds between each word). They should have practiced more to make the dialog flow smoother. The whole movie is about his last moments, so don't expect much on character development. But still worth watching (once; it's not something you can watch every week).	4.0	I don't know what to say about this movie	2010-12-26	3	0	3
0310263662	The Passion of the Christ	AATX0XMN5FKZ1	"A  believer ""grateful"""	I didn&#60;t want to see it at first because of the violence. I cried through the whole thing. to think that Jesus did this for you & me! This is Love. Forever grateful	5.0	grateful	2004-09-07	9	2	7
