asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0001WTWDI	The Station Agent	A1O0IV6KR2OTW6	1987blksamurai	Excellent slice of life movie with great characters that you begin to care about. It is a must see movie.	5.0	Awesome movie!	2014-03-08	0	0	0
B0001WTWDI	The Station Agent	A23QLGFL7JOR8T	1-on-1	This is not an action movie. It is about how 3 people have their lives changed by meeting each other. It was a good movie.	4.0	Interesting, offbeat, well done	2013-01-11	0	0	0
B0001WTWDI	The Station Agent	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	`The Station Agent' is one of those rare movies that lingers through your memory long after having watched it.  Not since `Lars and the Real Girl' have I felt this way about a quirky independent film where you fall in love with the characters and marvel at the warmth and eccentricity they elicit.The movie starts with Finbar McBride (Peter Dinklage, `In Bruges') a dwarf (at least that's the term he prefers, so I'll go along with him) who works as a fix-it man at a used goods store.  Despite the tool man position, he's sharply dressed with a collared shirt and tie.  His moves are mundane, and the store's atmosphere is serene and quiet.  The deliberations of his life are similar.  He goes shopping.  He lives alone.  He doesn't have any companionship, and whatever entertainment he ekes out is spent by himself.  Then the owner of the shop (Paul Benjamin) dies.Soon Finbar learns that he's inherited a train station depot from his deceased employer.  The shop is sold with its merchandise, so he pursues his newfound possession, nestled in a sleepy New Jersey neighborhood where much renovation is needed .He's able to live in the station depot where in former times the thriving railroad stop provided a barber shop and a familiar store with convenience items.  (Although the trains that go through every night make sleep difficult.) Within a few yards of him is Joe Oramas (Bobby Cannavale, `Romance & Cigarettes') a Latino who runs his ailing father's hot dog and coffee vending stand from a trailer.  Joey is gregarious and friendly with his new neighbor.  His overtures, however, fall flat on the taciturn Finbar whose silence speaks volumes about the ordeals he endures about his height.The two get caught up as a threesome when a separated housewife, Olivia Harris  (Patricia Clarkson `Lars and the Real Girl') nearly runs Finbar over on the road juggling with the distracted driver syndrome we're all used to.  Trying to make it up to him, Olivia  finds a social context in which all three can get involved together.  Finbar finally opens up.  Eventually, they each have something to give one another, and the tripod becomes more complete with four when Finbar becomes infatuated with the local librarian (Michelle Williams) and extends to five when Cleo (Raven Goodwin), a curious and precocious African-American girl, shares his company and fascination about trains.The differences between the three characters is so clever, yet uncanny, you can hardly believe how well their chemistry works together.  Whether gathering at Olivia's house and art gallery, going train chasing with two amateur filmmakers whose heights are at a great distance, or just sharing a meal, the movie gels with unusual sparkle and grace.The film demonstrates that in the midst of the usual hustle and bustle a dwarf will especially be treated like he's invisible target and in the way.  But they all have hurdles to leap over.  In Olivia's split marriage arrangement some past secrets come creeping back into her life, and Joey's outgoing vivacity has little time and space when caring for a sick father.Colorful, charming, and engaging `The Station Agent' is one of those gems that make you wish independent movies were always this good.  (Written and directed by Thomas McCarthy who directed the recent film `The Visitor' due out on DVD in October.)A J.P.'s Pick 5*'s = Exceptional	5.0	When Three Friends Collide	2008-09-01	7	6	1
B0001WTWDI	The Station Agent	ARHUBLVXF8PGF	Aaa	Why is it that directors who set movies in the Garden State almost always depict it as a parallel universe? (OK, don't answer.) Still, boring is boring, even if it's quirky-boring. In The Station Agent, an urban dwarf with an attitude moves to East Bumblepuck, New Jersey and finds that there are worse things than being short. In the process of self-discovery, he meets a variety of  quirky characters, including the world's dumbest mobile food cart owner, who has set up his hot-dog stand on a rural road with LITERALLY ZERO TRAFFIC; a pregnant teen-age librarian with a heart of gold and a Neanderthal boyfriend; and a very annoying sixth-grader. Lesson from the movie: Don't get really really drunk and then walk on a train track by yourself late at night. Like the movie itself, it's NOT RECOMMENDED.	2.0	More Jersey Quirky...	2005-10-01	32	7	25
B0001WTWDI	The Station Agent	A15FF1G0D6RLO7	Aaron Stadler	The tag line for this movie listing said &#34;you'll be smiling long after the credits are over&#34;.  I was smiling when the credits started because the movie was over.	2.0	A very slow train story	2014-04-16	1	0	1
B0001WTWDI	The Station Agent	A1H14URYBRPVA1	Abiola. J. Sonubi	Well, I couldn't but write about this one. Though probably just another regular Amazon purchaser, I'm not a habitual writer of reviews except i personally feel a movie/ CD is exceptional (good or otherwise). This one really deserves a mention and boy! it also merits all the accolades it received (22 worldwide award wins in total), not that awards always translate to mean quality but when one them is a BAFTA award then it's got to be worthy, yep! the Bafta is indeed a much more credible 'seal of quality'.I really have to recommend this movie as it just completely 'hits the spot' and there were loads of times that we spontaneously burst out in uncontrollable fits of roaring laughter probably upsetting the (by now frustrated) neighbours. As with the general synopsis and personal opinions all of which i agree with e.g one from top reviewer Joseph H (somewhere above), it's a movie about a (possibly taunted by the mainstream world & subsequently tired) deeply reclusive, train/ railway lover, Fin (Peter Dinklage, someone i feel should be taken seriously as an actor) and his journey to and stay in New Jersey, all as a result of his dead employer's surprise estate bequeathal ... he eventually turns out to be the star of this NJ outback with all those that really got to know him being genuinely drawn to him, his mental wisdom & courage and not out of pity/ amusement because of his dwarfism. It's one of those movies that remind or make us come to realize that spending time with, getting to know and understanding people & things can really change our sometimes bigoted, tainted outlook and approaches.The movie is a drama/ comedy and one that MAKES ALL THE SENSE in the world, I think it's one that anybody or family should/ could watch on a day when there's time to catch a movie. Every character in the movie contributes at least one very funny scene, starting from the young, persistent, 'free spirit' black girl, right down to the library attendant, phew!!! I laughed pretty much all the way through it and that's hardly something one sees in many drama movies, some comedies might achieve this with that odd bit of the producer's or script writer's (just for kicks) senseless scenery here and there.Two of my funniest scenes remain 'Post-drinking, morning after' scenes, the first of which was when Olivia (Patricia Clarkson the Emmy winning, Oscar and Screen Actors' Guild nominee) overslept at Fin's house and the coffee/ hotdog dude Joe (Emmy winning, Will & Grace actor Bobby Cannavale) saw her leaving the house and the second scene was the reverse, when Fin and the coffee dude overslept at Olivia's and someone saw them. Some other more thoughtful, more sobering scenes include when Fin gets drunk in the bar and eventually crashes out seemingly paralyzed on the rail tracks which (being a true train lover) apparently was his routine daily way back home, with that oncoming train, Gosh!!! The scene then leads to one with the discovery of Olivia's unconscious body on the floor.All round good acting and I have to make a mention of the commendable child actress Raven Goodwin, who even by her pre-teen years had already been recognized with a Screen Actors' Guild and also the Black reel award nominations. Bobby Cannavale aka Joe, is extremely hillarious in most parts and i'm still laughing even as i write this.Considering the movie's current going price even here on Amazon (approx $10 or 5), it's indeed a bargain for that much needed stress detox.	5.0	Auto route to detox	2007-05-27	3	3	0
B0001WTWDI	The Station Agent	A35QF1GDLAFYCL	"A. Calabrese ""othernj"""	This is a wonderful little film.  The Characters are great and the dialogue is even better.  Peter Dinklage is superb as Finn, a person who has to let go of the secure world he tolerates and join a new world with people, he at first, really doesn't much care for.  The supporting cast, that includes Bobby Cannavale and Patricia Clarkson as Joe and Olivia really lift this movie.  The movie is a metaphor for how people move on and how some people can help others move on.  I have one minor complaint, on the DVD you get  to watch some deleted scenes, why some of these scenes were deleted seems to make no sense.  The Stations Agent is a great movie with a good story, buy it.	5.0	The Station Agent Gets You To Where You Want To Go	2005-02-19	3	3	0
B0001WTWDI	The Station Agent	AQUU8S55JGY2H	Aco	This is a terrific, sweet film. All three leads are distinct and satisfying, with special mention towards Dinklage. He is the pivitol character and the best too.The story is very straight forward, with an opening about Finn's life in Hoboken at a train shop and subsequent move to rural New Jersey where he rapidly meets Clarkson's Olivia and Cannavale's Joe. Together the three navigate each other into their lives, in what amounts to a stirring and heartfelt story of friendship and peace. This is a very soothing, moving film.The extras on the DVD are minimal. Several deleted scenes and commentaries by director McCarthy, Dinklage and Cannavale. The film itself is the best part.	5.0	A Beautiful Film	2004-11-01	2	1	1
B0001WTWDI	The Station Agent	A3J1A72P9CY06I	Adam Gonnerman	"The characters in this movie are brilliantly portrayed, creating a sweet tedium in waiting and hoping that they will do or say something good.  This is rather than being an artsy drag.  If you are looking for a fast, flashy movie...then just keep moving.  If you have the patience for it, though, ""The Station Agent"" can be a worthwhile and restful way to pass an afternoon off from work."	4.0	Not Your Typical Hollywood Fare	2004-12-29	4	3	1
B0001WTWDI	The Station Agent	A1F545WKUBCB0J	ADAM J COHEN	The movie The Station Agent creates 3, endearing characters who are both unique and familiar.  Each has his own burden in life and prior to meeting lived fairly isolated, but together, form a bond and friendship.  The movie itself has a unique style and pace that stands out.  Reminded me a bit of Moon Rise Kingdom which also focused on quirky individuals and their relationships.  The movie was well filmed and pleasant to watch.	5.0	A unique story on relationships and their humanizing effect	2014-05-05	1	1	0
B0001WTWDI	The Station Agent	AR4KV2Q28151J	A discerning buyer	I watched it in the middle of the night when I couldn't sleep. The characters and story are well developed. It's a feel good movie with heart and an emotional hook. It's all good. There are other reviews to tell you too much, just watch it and enjoy it.	5.0	Quirky and enjoyable	2014-03-20	0	0	0
B0001WTWDI	The Station Agent	A1UNKN1WGFR86R	A. Eisner	About friendship, growing openness to life, and to self. The kind of movie that leaves one feeling better about humanity.	4.0	Actually a lovely movie	2014-04-29	0	0	0
B0001WTWDI	The Station Agent	A2X1IAN4TVTKAX	Aggie Fan	The Station Agent is more than just a social commentary on &#34;fitting in&#34;.  Both the subtle and direct humor will have you laughing out loud again and again.  At the same time, your heart may break a little as you empathize with each of the three main characters.  This movie is a must-see!!	4.0	SOCIAL MISFIT? OR NOT?	2014-05-17	0	0	0
B0001WTWDI	The Station Agent	A212SQ8A09VMDX	Agnes Iselin	Liked this movie a lot. Would watch it again. It was uplifting bit also very sad. A good mature audience movie.	4.0	The Station Agent	2014-03-10	0	0	0
B0001WTWDI	The Station Agent	ARU25ACWHMW3P	"AG ""rag"""	Somewhat Interesting story about strange relationships and discrimination. Slow and meandering. Acting so so. Stupid ending. Would not recommend. My last word.	2.0	Agent	2014-04-30	0	0	0
B0001WTWDI	The Station Agent	A3144SV90256OY	A. Hinchen	This was such a good example of true friendship. There is a lot to be learned about individual differences from this movie. We enjoyed.it.	5.0	Very thought provoking.....	2014-03-17	1	1	0
B0001WTWDI	The Station Agent	A1SAGYN46CJ1N9	"A. Hudson ""A. Hudson"""	My husband is a train buff and has ridden trains all over the country for years just for the enjoyment of it.  This movie was recommended by a relative who told us it had a lot of train information in it.  There was not a lot of train information and we thought it was a bit slow and dull.  We did not enjoy it as much as we thought we would based on the recommendation we were given.  It was &#34;okay&#34; and the actors did a good job. Basically, I guess, it wasn't what we expected.	3.0	The Station Agent	2013-03-06	3	1	2
B0001WTWDI	The Station Agent	A2F45LKQEUDGN5	Alan J Bird	Interesting story of friendship among the least likely characters. Their relationships demonstrate love and caring which is basic in the make up of every human being, but not always evident.	3.0	Worth watching.	2014-05-27	0	0	0
B0001WTWDI	The Station Agent	A4B23XPC82X5J	Alan J. Laibson	It's an interesting character study of three people.  They are all either dysfunctional, damaged or limited by family constraints.  Over time they learn how to co-exist together in a more healthy manner.  What I thought was interesting to see was what a 'little person's' daily reality looks like and how painful it can be.  I thought all of the actors did a great job in playing their character and you could feel their pain.  Many of the scenes with very little dialogue were the most painful to watch because the characters were stuck with their own reality and you could tell it was crushing them.  When they finally are able to accept one another for what they are, push themselves beyond the boundaries that are stifling their growth a peaceful truce is reached.  I enjoyed the movie.	3.0	A study in emotional growth	2014-04-02	0	0	0
B0001WTWDI	The Station Agent	A2PWNWHB6J2159	Al B. Tross	This is somebody's idea of profundity but it never gets much beyond an eighth grade level. Really just not very bright, very interesting or very good..in fact pretty much a waste of time	1.0	Not very good	2014-03-21	4	1	3
B0001WTWDI	The Station Agent	AJPOUIX0CGSXI	Alejandro Perez-Puelles	I found the movie too slow and it really did not go anywhere.  It's a movie for character development and the acting was good.	3.0	good acting movie but goes nowhere	2014-05-05	0	0	0
B0001WTWDI	The Station Agent	A23L2BR07AOBG1	alex bushman	It's also a viewpoint that not a lot of people think about, including myself and it's so rare for me to run into a dwarf that I almost have to look twice just to confirm what I see and I feel horrible for it.  This movie truly seeks to include such a person even when that person is unwilling at first.  The only real criticism that this movie can take is that it doesn't really care about telling a story and yet there are things filling up the time called subplots and none of these things actually come to fruition and results in an unsatisfying ending, but that's not to say that this film doesn't have it's merits, it does.  While being very welcoming it doesn't contain much dialogue.  The dialogue that it contains is very short and brief.  I'm not sure if that's the influence of the main character, or simply because the screenwriter is ADD.  Ultimately, none of this matters because the film is really about the main character and showing his situation.  As that, it succeeds very well and it doesn't attempt to be charming at all, which is a positive.  It also features a performance by Michelle Williams that's a small supporting role, but it lets her put down the glam card and just look like an ordinary  and natually beautiful woman, which is nice.  Her romance with Dinklage (the main character) is very cute as well.	3.0	A good character study of one man's experience in the world	2005-04-01	8	2	6
B0001WTWDI	The Station Agent	A3GLX47PF4ZN9T	Alex	Peter Dinklage is a force in The Station Agent, playing a train geek/little person to such perfection that we come to completely know this character despite never having met anyone like him before. Bobby Cannavale is perfect as a dumb jock desperate for company, and Patricia Clarkson's awkward love interest is completely real. The acting is superb all around, and the cinematography keeps the quiet plot engaging.My one complaint is that the climax is cliche and unoriginal. It's a sign of the director's talent that it's still completely watchable.	5.0	what a delightful movie!	2009-08-31	0	0	0
B0001WTWDI	The Station Agent	A39IBJB2PBVC7I	Alistair McHarg	Gentle, irresistible, surreal and almost perfect. Worth owning because it holds up well under repeated viewings. Three bruised people, hiding from the world beneath very different kinds of veneers, form a precarious but significant friendship that changes them as they come to know and care about each other. Finbar McBride, the Station Agent, is a dwarf who is more than tired of the attention he draws. Peter Dinklage landed several choice roles after this performance and he deserved them, his performance is amazing.The pace of Station Agent is slow, it winds leisurely like a lumbering commuter train. Finbar's anger is given plenty of time to smolder before he explodes. By the time he does you are rooting for him, you care about him, you would forgive him anything. Patricia Clarkson and Bobby Cannavale are equally engaging and sympathetic. Really an exceptional and wonderful movie.	5.0	All Aboard!	2006-01-02	5	5	0
B0001WTWDI	The Station Agent	A1CNXFJ7TB2JO2	"A. Little ""Lique"""	I enjoyed this movie.  Just a good move to show friendship and the importance of having that human connection. Everyone needs it!	4.0	Like it!	2014-03-20	0	0	0
