asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000FL7CAK	Veronica Mars: Season 2	A3E6OGODNZDWKZ	129movie_fan	Great show. Just more proof that TV Execs are idiots and don't know a good thing when they have it.	5.0	Great show. Just more proof that TV Execs are ...	2014-07-01	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A9JWP771B3C29	A. Bauer	Not your average show about teenagers.  This is a noir-esque series with dark plot twists and intrigue, interspersed with clever one liners and comedic relief.	5.0	Witty and funny	2014-06-04	0	0	0
B000FL7CAK	Veronica Mars: Season 2	AB7J4881WKCHY	A. Butler	After the fantastic first season it must have been a tough job to try and match it, much less top it. I give the writers credit for pulling out all the stops in the attempt. But not... quite.While the plotting is still up to par and the twists and turns have a familiar flavor, I thought that the second season failed to maintain the magic balance of short and long term arc development that made VM's first year such a magnificent achievement. It's still very entertaining, and every VM season towers above the best seasons of most current shows.	5.0	Second Best Season	2014-02-26	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A2Y4BTPSV1PGYO	"A. Byrum ""internet gold"""	The show progresses! Adds some new characters, loses others. Same witty banter. Not a show where you can jump into the second season easily without watching the previous episodes.	5.0	Excellent!	2014-02-20	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A8PSQLCI6TTE1	Ada Lape	Glad I discovered this series! I can't believe I missed this show when it was on television. It's been a great binge watch	5.0	Great Story!	2014-06-30	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A3QAIZG52BRPOF	Adam The Great	this show is brilliant and gets better every episode. I'm totally hooked and excited for the movie to come out.	5.0	This show is like Buffy meets twin peaks.	2014-03-12	0	0	0
B000FL7CAK	Veronica Mars: Season 2	ALYP5CBI95NTI	Adele	Love this series. So bummed they didn't continue past the 3rd season! It's really worth the watch, and re-watch in my case!	5.0	Such a great series!	2014-06-02	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A2T8P57B513HZG	Adriana P Doak	One of my favorite shows of all time. Not only is it incredibly well written and witty, but the every single actor delivers, especially Kristen Bell as Veronica Mars and Jason Dohring as Logan Echolls.	5.0	excellent storylinesa and acting	2014-06-27	1	1	0
B000FL7CAK	Veronica Mars: Season 2	A2TG9VCQ5MMQ26	Adrienne M Walker	I love this show, I never even knew it existed until recently. It is campy, funny, mysterious and of course Kristen Bell! She is an adorable actress and made and excellent P.I.	5.0	Just discovered this show	2014-03-27	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A2AQ5Y14Q58P2F	adventures of frugal mom	I am in love this series. Can't wait to see the movie when it comes out. Love it!! A Must see	5.0	awesome	2014-02-14	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A1QCVFKN5MWKF	Aef	FIrst two seasons are incredible. WIsh this show did not get canceled but happy the movie was made ad can't wait for that!	5.0	Awesome and interesting show	2014-01-30	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A1TN53IO3DY9F7	AE	My fave show and the movie was great. Wish it would come back but I'll keep researching these! Just great!!!	5.0	V Mars	2014-04-05	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A3HM1J4TSUGE4K	"A. Fisher ""yogamagic"""	One of the best shows to ever air on television--whether you love its Buffy-esque themes, it's noir writing, or the delightful way it walks the line between cheesy and genius...don't miss this show!	5.0	The best in television--smart, dark and sexy!	2014-02-10	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A3RH0JT46SLCXS	A. Garman	My adult children really like this series and said to give it a very high rating, but I personally have not viewed it.	5.0	Good Series	2014-01-30	0	0	0
B000FL7CAK	Veronica Mars: Season 2	A3NAFKSNYT703O	"Agent seven ""007"""	Veronica Mars is one fo the best shows ever,just ask Joss Whedon! The Second season has even more twists and turns than the first season ,Veronica  matures as she awaits the trial for her friend's death. The season opener starts with a bus crash which becomes the main focus of the season,which is solved in the season finale (you'll never guess who blew up the bus)! This season introduces new characters (kendall casablancas and the shady mayor goodman)and loses old ones(Duncan)  Way better than the first season by far.*can't wait for season three on the CW*	5.0	One of the best shows ever!!!!!!	2006-07-03	6	6	0
B000FL7CAK	Veronica Mars: Season 2	AORXL977W3KI7	Aging  Boomer	"The first season of ""Veronica Mars"" was refreshingly free of politically correct cant.  The second season continues the first season's fine acting and production values, but the scripts, alas, are much more conventionally ""Hollywood"" than those of the first season.  Race, class, religion and sex get the standard Left Coast treatment; there is even an inept homage to ""Twelve Angry Men"" in which wise Hispanic and black jurors (and, needless to say, Veronica) overcome prejudiced middle-class whites.  The lowest blow is the depiction of Meg Manning's Christian parents.  I'm only halfway through Season 2 on DVD, but I half expect it will turn out that the Mannings blew up the bus.  Of course, in Hollywood's view, to be a believing Christian is per se to be a neurotic, sexually repressed, child-abusing, life-hating menace.  And guess what, that's what Meg's parents are!  They lock their youngest daughter in a closet after making her write ""The path to God is paved with righteousness"" hundreds of times. (How these folks raised such a nice girl as Meg is unclear.)  In typical fashion, these characters are never described as ""Christians,"" only as ""religious.""  Hollywood is arrogant but not courageous; it likes plausible deniability.  But the Mannings show little resemblance to Jews or Muslims; it's not hard to guess the precise nature of their ""religiosity"".  I hope, when he's a bit older, to watch this show with my son, and explain how it illustrates the bigotry and prejudice with which those of our faith are depicted by the Rob Thomases of the world.  Then perhaps I'll also explain to him how the path to God is indeed paved with righteousness, both Christ's and (imperfectly) ours.  Take that, Veronica Mars."	1.0	Unfortunate descent into Christian-bashing	2006-09-04	109	10	99
