asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JKVZ	A Walk to Remember [VHS]	A1AAIZE46O771R	100% Real	"Mandy Moore has been in better, but the plot is very good, but somehow it never came together for me. It wasn't that great and I don't understand how it touched people because it was the kind of movie where you're like, ""Is it over yet?"" It kind of dragged on. You may like it, but I've seen much better. if you want a sad, touching love movie, try the ever fabulous 'Titanic'."	3.0	eh	2005-07-25	5	1	4
B00005JKVZ	A Walk to Remember [VHS]	A1SKTLISXQMVV6	2002Momof2	Ended too sad.. I hate movies where i have to watch a comedy because it ended so sad and depressing	2.0	A Walk to remember	2014-01-09	0	0	0
B00005JKVZ	A Walk to Remember [VHS]	AADJXNY9HSKJF	Aaron	Recent teen movies have pretty much showed teens as cold and uncaring. This movie does nothing of the sort. A very likable cast displays emotion and yet they remain very believable.The movie is about an 18 year old boy the name of Landon Carter (Shane West) who is your typical high school &quot;big man on campus&quot; who gets himself into some trouble. He ends up getting involved with misfit Jamie Sullivan (Mandy Moore) when he's forced to participate in his high school's spring play. The story takes off from there and i don't want to give away any spoilers. Shane West's acting is terrific but the real star is Mandy Moore who definitely displays the fact that she has acting talent and is definitely a young person to watch for in the future. The movie's love themes are not mushy *surprisingly* and the corny moments are pretty forgivable and handled well by the cast. &quot;A walk To Remember&quot; is definitely a movie to remember and a must see. It's not just for teens either. Anyone can enjoy it. My own mother loved it.	5.0	A Great Alternative To Modern Teen Movies	2003-07-22	0	0	0
B00005JKVZ	A Walk to Remember [VHS]	A3QR2AOHT0NBZR	A. Assoc	This is just a heart wrenching movie that shows how deep young love can be!!  Shane West and Mandy Moore deliver great performances!	5.0	Beautiful story of love!	2013-09-04	0	0	0
B00005JKVZ	A Walk to Remember [VHS]	A2YDCKMEGPFZ5X	"abbztrak ""abbztrak"""	One of my favorite movie. It really captured the essence of love and maturity, how love can turn someone into a different, better person.	5.0	Very touching!	2013-03-19	0	0	0
B00005JKVZ	A Walk to Remember [VHS]	A2ORC7O79PMIPS	Abiane Collymore	i enjoyed every moment of this movie. i also learned that without God and good friends your life is empty.	5.0	the best movie	2013-09-25	0	0	0
B00005JKVZ	A Walk to Remember [VHS]	A3HP6HWGROAH82	"Abraham Cervantes Posadas ""Jos Abraham"""	It's a awesome movie, i love it, and the quality of the DVD is excelent, I wish to see it soon on BD.	5.0	Awesome	2009-02-02	1	1	0
B00005JKVZ	A Walk to Remember [VHS]	AGYBRI685ZVT1	Adalid	I love it is is a fine way to get ure movies. A walk to remember is a great movie.. Looooveee it..!!!!	5.0	Good	2013-08-09	0	0	0
B00005JKVZ	A Walk to Remember [VHS]	A3CHKH03WM3XR5	Adam Duckworth	It was as good as always. One of the best Nicholas Sparks movies made! Right up there with The Notebook.	5.0	One of the best Nicholas Sparks movies!	2014-02-02	1	1	0
B00005JKVZ	A Walk to Remember [VHS]	A2KUDJOC55PFIX	Adam Hill	Ok im your average black wearing, heavy metal listening, long hair, type of guy. Ill be the first to admit I never was nor probably ever will be a fan of Mandy Moore's music (I said music not singing). And I only watched this movie because its all that was on HBO at the time. But listen, the way the love in this movie was portrayed, so real, so untouchable, broke me down like a little boy. The love in this movie itself was enough to break tears from my eyes like water from a rung out rag. Then when Jamie (Mandy Moore who is an amazing actress) drops the bomb on her love its almost like you feel the same pain he does because in fact if your a member of the male gender you will slowly fall in love with Mandy's Character too. After watching this movie and relating so well yes ill admit...I cried...Hard I may add. I woke up this morning and still felt the after effects. Now if a movie can do that to ME then think about what it can do for you. I REQUIRE YOU TO SEE THIS FILM!	5.0	If it can break me down it can break you down too...	2003-07-04	1	1	0
B00005JKVZ	A Walk to Remember [VHS]	A1H1KODUALJKYQ	Adriana	Its a TearJerker To some people and a really Amazing.... but a little bit sad love story you have to watch it to find out which viewing point suits you! But I Assure you its worth your time..... I Love this movie soooooooo....... MUCH! its Amazing I hope you feel the same!	5.0	AMAZING!!!!!! but.... Sad:(	2012-11-20	1	1	0
B00005JKVZ	A Walk to Remember [VHS]	AMP7TQRWAIE84	"Adrian Cooper ""That Guy from Venus. :D"""	"It's so sweet yet real. Typical high school situations. Jamie's a bore with a few secrets from the world in the beginning. But once she finally hooks up with Landon who really wasn't her type at first, things start to change and she does things that she's held back for too long.Is it typical? Yeah. Sometimes. But you get to hear Mandy sing her heart out on ""Only Hope"" one of Switchfoot's most touching ballads ever. John Foreman and his brother wrote it I believe.Everything is peachy save for the haters at school (they make fun of and pick at Jamie for being the ""Virgin Mary"" and try to get Landon to break it off) and Jamie's father's disapproval of their relationship at all. Even worse, something very sad and tragic is revealed by Mandy's character (Jamie) and sends things into a downward spiral. The movie gets 10x as serious here.Overall, it's recommended. It's from 2002 which is a kinda old but I would highly advise you rent this. I think it'd be safe to buy it instead however; an all-around great love story!Cover Art: B-Characters: C+Story: A-Dialogue: BLength: B+Overall: B+4.2 stars."	4.0	This movie is amazing. 4.2 stars.	2007-11-27	1	1	0
B00005JKVZ	A Walk to Remember [VHS]	A2PV6GK1HV54Y9	ADRIENNE MILLER	A Walk to Remember is a really beautiful and poigant film but it does have some embarrassing and cheesy moments. I wasn't expecting to like this romantic drama but Shane West really blew me away with his performance and who knew Mandy Moore could act! Peter Coyote plays Moore's father in the film he is a fantastic actor, too bad he never got the recognition he derserves. I guess you would say this film is a tearjerker, it's a film about faith and second chances. A Walk to Remember is mostly targeted for younger audiences rather than mature ones, that's why I feel it's cheesy but nonetheless, I like this movie, it has a good message.	4.0	Jamie's miracle.	2007-11-14	3	2	1
B00005JKVZ	A Walk to Remember [VHS]	A3R49LJGDX2AMN	Aelita	Wow, what a great movie.Mandy Moore and Shane West work great together.  There is nothing I hate about this movie, it is indeed a walk to remember again and again.	5.0	An Awesome Movie	2007-01-15	3	3	0
B00005JKVZ	A Walk to Remember [VHS]	A17ED9J0J0UJ9G	"A. Gehlke ""Cat Mom"""	"The first time I had heard of this movie was from a discussion board on the internet.  I was curious so I bought it here and didn't quite know what to expect except that it was a ""tear jerker"".  Boy were they right!  I cried through most of the second half of the movie and do so every time I have watched it since (about 5 times so far)!I like that they don't have all the swearing and teen sex in this movie.  The second time I watched this movie was with my then 13 year old step-daughter and she cried with me.  After the movie she said ""I can't believe I've never seen this movie!  It was so sad and so good!""  I would hightly recommend this movie to anyone at any age!"	5.0	I need more tissues!	2006-06-06	1	1	0
B00005JKVZ	A Walk to Remember [VHS]	A3RFJW32PZEI1T	a girl	I like the fact that it was a good clean movie.  I like the plot and the fact that it is not about sex and violence!	5.0	Great Movie	2013-03-02	0	0	0
