asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1424810248	Facing the Giants	A155X6KYOPQEZ5	"#1 Cardinal Fan ""Afe"""	Coach Taylor is having all kinds of problems in his life. He's about to be fired from being a football coach and he can't have any kids because of him. When things get really bad, he turns to God. Facing the Giants is a movie that expresses what God's love really is and how he can really work in people's lives. Never underestimate God. He can do anything and everything. Facing the Giants is the best Christian movie I've ever seen to this day. If you're looking for hope, turn to Facing the Giants. You won't be disappointed.	5.0	Best Christian movie ever seen!	2008-06-18	0	0	0
1424810248	Facing the Giants	A2ZWAFV5BJ3YM1	"1famous ""1famous"""	I like that I was able to instantly get the movie and that I can watch it threw our Wii, beside a little buffing issue, its good, and the movie is awesome!	5.0	Quick and Easy	2013-03-04	0	0	0
1424810248	Facing the Giants	A198SB0E3OPJMH	A. Arnot	If you have clicked on this movie, then you must buy it. It has changed my life for the better and I guarantee it will change yours as well. It has so many postive messages in it, every time you watch it you will learn something new.	5.0	It will change your life	2009-03-02	0	0	0
1424810248	Facing the Giants	A1KDCGXSDWB0WS	abiech	This movie is great, I will continue to watch it over and over, its uplifting for the soul I will recommend it.	5.0	Love it	2013-09-15	0	0	0
1424810248	Facing the Giants	A3NLBG46H2HV08	Accutron	This really is an impressive film.  Good, exciting storyline.  And when you consider the shoestring budget it was made on, it is even more remarkable.  If it were not an overtly religious piece, I might give it 4 or 5 stars.The problem is the false teaching that the movie perpetuates.  That is, if you are a Christian, God will overcome all your earthly obstacles for you and make you an outstanding, victorious success right here on earth.  That teaching is nowhere to be found in the Bible.  Christians are to persevere and glorify God regardless of their circumstances, success or failure.  Rewards will be in eternity, not in the here and now.	1.0	Impressive Movie; Bad Theology	2009-06-22	33	9	24
1424810248	Facing the Giants	A3ST244GRR6WBZ	Ace	"If you are looking for a positive movie suitable for all ages...""Facing The Giants"" is an excellent choice.  This movie although recently made, appears to be from an era much like the 50's. No blood and gore, no nudity, no fowl language...just plain good clean fun with an uplifting spirit."	5.0	Facing The Giants	2008-09-14	0	0	0
1424810248	Facing the Giants	A12AF6JRP5512J	A. Cheney	This movie became my instant favorite upon seeing it in the the theatre. It is much like Remember the Titans, only with a very strong message of faith. I highly recommend it.	5.0	My New Favorite	2006-12-28	17	15	2
1424810248	Facing the Giants	AQHAECZ4WIG61	adaptive	"Simply the most likeable movie I have ever had the pleasure to SEE and HEAR. I found this movie to be both amazing and inspiring. When a friend told me he was in tears or laughing through this movie, I kind of shook  off his opinion as someone perhaps being maybe a little too soft or vanilla. To my surprise, I often found myself reduced to tears, and many times laughing. I have heard the scene the ""death crawl"" has been employed by college coaches. This was also a heartfelt and practical movie in that many characters had real life STRUGGLES not easily overcome by some immediate hollywood phony wizadry or manipulation. The ""Cinderella Man"" is the best movie I have seen in my lifetime, the close to the truth based story of James Braddock fighting in the Depression and the gentleness and goodness of family though faced with very hard times. This might be the most likeable  movie you will see, and the spirited dialogue never lost by cliche' in my opinion or review. My Thanks."	5.0	The power of perseverance touched with compassion	2011-01-08	0	0	0
1424810248	Facing the Giants	AZLPRZN6XTK6K	"A. Doyle ""olivedoyle"""	"I LOVED THIS MOVIE!! The struggle between complacency and having faith that God can and will show His power through our weakness is the theme of this movie. The ""death crawl"" scene was just one of the scenes that had me in tears; such a beautiful picture of how our heavenly Father gets us through difficulties in life that we don't think we can handle and brings out a strength in us that we never knew we had. As the main character, Grant, experienced time and time again, God's love is overwhelming!!Some reviewers thought the acting was poor and its low budget transparent, but compared to other lower budget Christian films such as ""Left Behind"", I thought the writing, acting and cinematography in ""Facing the Giants"" to be quite high quality. I plan on buying it so I can watch it again and again. Highly recommended!!"	5.0	His Power Through Our Weakness	2007-02-12	12	10	2
1424810248	Facing the Giants	A1IUBLK7KIYRT6	Adria	This is one of the greatest movies I have ever seen. You can watch it with your kids, and share with them the pleasure of having faith, never give up, believe in yourself and have courage.	5.0	Great	2011-12-29	0	0	0
1424810248	Facing the Giants	A343RDBINT3WN8	A. Flynn	One of the most pedantic, predictable and pandering movies it has ever been my misfortune to watch. The performances are terrrible, the dialogue trite and simplistic, the story is horribly contrived, not to mention providing a foolish moral: pray to a Christian God and all your troubles will miraculously solve themselves. What disturbed me most was the unsubtle themes of racial and religous intolerance. The people who made this film should be deeply ashamed. Heck, as a Christian myself I feel ashamed by association simply for having watched this piece of drivel. Save yourself some money, ignore the artificially inflated rating and avoid subjecting yourself to this pile of excrement-covered celluloid.	1.0	Avoid at all costs	2009-09-20	31	7	24
1424810248	Facing the Giants	A1ESADG9K00X3N	A. Gaines	This movie is simply awesome.  The lines at times can be a bit cheesy, but the message is truly inspirational.  The humor is wonderful and the depth of love that this film was made with, truly shines through.  Had me Praising God more than once!Thank you for making this movie!	4.0	Amazing	2007-12-27	0	0	0
1424810248	Facing the Giants	A3V2ESDQOBDOWM	AgogoLive	"In this day and age when ppl take ""chicken soup for the soul"" ... well this is one HEAPFUL.Highly recommended for great nourishment.What do you do when life knocks you down?...you get up again and again and again and again...Believe you CAN."	4.0	Inspirational, heartening, a lift for the soul...	2012-01-23	0	0	0
1424810248	Facing the Giants	A37KH5O29CTT2P	Airheart	"A movie that the whole family will enjoy (and can watch without fear of violence, crude language and behavior, etc) Facing the Giants is wonderful for everyone to watch; especially those of us who have ""giants"" of our own we need to face."	5.0	Superb!!!!!	2007-06-26	2	2	0
1424810248	Facing the Giants	A1LIS4BFMI6C4A	A. Jasper Rains	After reading several reviews here, I felt I needed to add one of my own. I love this movie. I love it because of what God did in my life as a result of it. I think to view this film as simply a God gives you what you want piece is short sighted. Yes, in the end the conflicts all tie up positively and nicely but most movies do so I don't know why so many people had a problem with that. I also think this movie is not saying name it and claim it. I think it is a challenge for us to remember that God makes things happen when we believe. God taught me the power to praise him when I win and when I lose. I am a Pastor and this movie encouraged me to remain in that truth and I have seen God use it in my life many times since first seeing this film. I gave it four instead of five stars because I have to admit as Sherwood's second outing, the acting and script and not yet polished. On the budget they had they did an incredible job. I sense the Holy Spirit's presence when I watch this and that is what is most important to me.	4.0	A Movie That Can Change You If You Are Willing	2011-09-26	0	0	0
1424810248	Facing the Giants	A1HXMDWHPGKXFU	a.johnson	"Facing the Giants is a Pretty Good Movie. I Enjoyed it very much! This movie really contained some very ""grab your tissues"" scenes and had several hilarous moments!"	5.0	Awesome Family Movie...	2012-02-28	0	0	0
1424810248	Facing the Giants	A352V92Q09UZC9	"A. Jones ""A.Jones"""	In the shortly of beginning it is boring and telling how life going, but it shows how or why God chose that man that plays in beginning. It is wonderous movie with mirealous works performed, you will cry and see how He performs and showering the blessings. You may think it ain't true, but yes it is 100% true! I can guarteen it if you have faith. It ActUally happens to me when I have faith in HIM ...that is why Christian is a great belief.	5.0	I would give it more than 5 stars!	2011-08-25	0	0	0
1424810248	Facing the Giants	A22HFI7FO7EBCE	Alan Parks	LOVED IT, GEATLOVED IT, GEAT MOVE FAST SERVICE. GREAT MOVE LOVED IT, GEAT MOVE FAST SERVICE. GREATFAST SERVICE. LOVED IT, GEAT MOVE FAST SERVICE. GREATGREAT	5.0	LOVED IT	2013-01-29	1	0	1
1424810248	Facing the Giants	A2IB55XP4U4WQ3	Alan R. Lipinski	Emotional - Touching - InspirationalWorth the watch - better than most movies I see at the movie theaterOther movies by this production company are just as good or even betterAcademy voters should take note!	5.0	Facing the Giants	2012-03-06	1	0	1
1424810248	Facing the Giants	A29F2C3F93LCHZ	Alberto T. Payero	This movie is about a team leader and how God bless him to get best team of the year.That movie is a blessing!!!!	5.0	The best for leaders!!!	2009-05-02	1	1	0
1424810248	Facing the Giants	A2Z4VVF1NTJWPB	A. Lee	I rented this movie and watched it with some close friends yesterday and just had to watch it a second time today. While the movie is about a football team, it really isn't as much a movie about football as it is about life, our goals, our hopes and dreams. It helps one to reflect upon what is and what is not truly important in life.  Whether you rent this or buy this, it is worth watching and be sure to watch the special features. I'm planning to buy this movie and probably an extra copy or two for friends and family.	5.0	heartwarming, inspirational, worth watching	2007-04-16	9	7	2
1424810248	Facing the Giants	A3KD9K45R39RN6	Alex Fogerty	If you love football, or even if you don't, this is an excellent family film. It is inspirational, teaches a great story, and  doesn't contain vulgarity, nudity or the other offensive garbage Hollywood is spewing out these days.	5.0	Excellent and Wholesome	2010-09-12	0	0	0
1424810248	Facing the Giants	A20X6V50NGTFY8	Alexis Driggers	This movie and all of Alex Hendrick's movies are AMAZING!!! Awesome messages. Perfect for the family, will watch over and over again!	5.0	Awesome movie!	2014-01-13	0	0	0
1424810248	Facing the Giants	AQVNVXX04ZQDM	Alex Mora	Excellent film, shows the GOD love is in me and we only have to accept HIM and HE help us in the live. God	5.0	Facing Giants	2014-05-08	0	0	0
1424810248	Facing the Giants	A186L40TP0FDVA	Allison Collins	I don't often write reviews but I was so turned off by this movie that I felt compelled to warn others not to waste their time or money on this one. The acting is the worst I've ever seen, the dialogue is extremely stilted, and the biblical messages--while worthwile--are presented in such a blatant way that you feel you've been beaten over the head instead of allowing you to think and reflect about a deeper message. As other reviewers have said, the movie presents God as some type of genie--the minute the characters follow His Word, everything changes for the better. Life isn't this neat and tidy and it would have been more believable if the characters experienced even minor challenges throughout. The only good thing I can say about this movie is that there is no violence or swearing so it would be suitable for kids.	1.0	Bad Acting, Predictable Plot, Cheesy Message	2010-06-20	31	10	21
1424810248	Facing the Giants	A15EZKU919ELAB	Aluciano	I like this movie for its interesting message and because we share as a family.Through this film we learned to rely more on faith. Thanks	4.0	excellent	2013-02-11	0	0	0
1424810248	Facing the Giants	A2JS1G0AF0V3MU	Alvarenga5	Great movie, speechless. They should consider producing more movies of this type. I can see it over and over again	5.0	Greatest motivacionales movie	2013-07-16	0	0	0
1424810248	Facing the Giants	A2Z0MDRWYDFRMO	Amable	This is an amazing movie some of the problems he went through in this movie are problems that people can relate to. It shows how he didnt let the problems take over and how he got through the daily decisions he was faced with.	5.0	Very Good	2012-11-24	0	0	0
1424810248	Facing the Giants	A25FS83J1CU0PG	Amanda M Bowden	This is a great Christian movie. Winning isn't everything, and you can still win while loosing.  Great acting as well.	5.0	Great Christ Honoring Movie	2013-10-12	0	0	0
1424810248	Facing the Giants	AEORWZAE98R7X	"Amazon.com Fan ""Student"""	Let's see...Good inspiring story line...No profanity...No suggestive material....What else can I say but: Great!!	5.0	Great!!	2008-05-26	1	0	1
1424810248	Facing the Giants	A5FQB3HTAANJN	"Amazon Customer ""Classic TV Lover"""	"""Facing the Giants"" packs quite a wallop with the themes and spiritual subject matter.  What a testimony to the ""little guys"" who faced their giants by producing this moving motion picture!"	4.0	TOUCHDOWN!	2007-03-08	3	2	1
1424810248	Facing the Giants	A7HF22WWSXT45	"Amazon Customer ""Divalady"""	Very heart felt and sprit filled. It made me reevaluate my approach to my relationship with Christ.  I really enjoyed this film.	4.0	Enjoyed it!	2013-11-12	0	0	0
1424810248	Facing the Giants	ANIEJ9JMPQ5IB	Amazon Customer	A great movie as all of the Sherwood movies are. I love football movies anyway but this one is be of the best. A true gem	5.0	Incredible	2013-09-11	0	0	0
1424810248	Facing the Giants	A23E8D6IJU4ZF8	Amazon Customer	"Great examples of overcoming obstacles!  Great for entire family and a good ""get you I the mood for football"" movie!"	5.0	Outstanding!!!!	2013-08-23	0	0	0
1424810248	Facing the Giants	ADJ4M8X3UWSZF	Amazon Customer	Heart touching movie for those of you that still let God into your lives.  This movie brings players of a high school football team and their coach back to the basics of what is really important - winning or just praising God for allowing you to play.	5.0	Facing the Giants	2013-03-09	0	0	0
1424810248	Facing the Giants	A1DO927G1QHY1K	Amazon Customer	"I've read past reviews that like to nitpick at the technical parts of movies but when it comes to Facing the Giants movie, I don't really care.  I find this movie to be inspiring for my every day life.  I continually watch the scenes where Brock does the Death Crawl to show that we all have the capability to go beyond what we think we can do. I'm also impressed with the scene where the older gentleman comes in to tell the coach he still has a door open where he is. I love the story about the two farmers who prayed for rain but only one prepared his fields to receive it.  Later in the movie, when the coach decides to kick an impossible field goal for the win in the championship game, he statement is ""I'm preparing for rain"".  I think this is a great movie and I'm inspired every time I watch it."	5.0	A Continuing Inspiration	2011-07-25	0	0	0
1424810248	Facing the Giants	A1LV91UPL5WN8O	Amazon Customer	My two grand sons said it was the best ever.  That means it beat out Star Wars and many others.	5.0	Great inspirational picture.	2014-02-12	0	0	0
1424810248	Facing the Giants	A1KD9D2M6ULC5Q	Amazon Customer	So inspirational!! You won't regret watching this.  My husband and I liked it so much that we are going to buy it.	5.0	inspirational!	2013-08-10	0	0	0
1424810248	Facing the Giants	AZ7E4GK39XZHG	Amazon Customer	The description of this movie does not do it justice. It sounds like it might be an okay movie, but it is an excellent movie! I wish I could find more great movies like this to watch with my family. If you watch this movie make sure you check out the extra features like the bloopers. Some of them are pretty funny!	5.0	So glad I bought it!	2009-09-21	0	0	0
1424810248	Facing the Giants	A37MRSIGK3QYJ7	Amazon Customer	This is a great family movie! Just when you think God has given up on you, this movie shows you that He has not, He is just waiting for the perfect time.	5.0	Great Movie	2014-03-06	0	0	0
1424810248	Facing the Giants	A1C83UJAI87WK3	Amazon Customer	alex kendrick does it again.  don't give up.  leave your best on the field.  good movie  great message.  Jesus reigns	5.0	yes	2013-04-18	1	0	1
1424810248	Facing the Giants	AXEXTBUBB6YWY	Amazon Customer	Bought this as a Christmas present and my friend loves it. He says that it doesn't skip and it works great overall!	5.0	Awesome!	2013-05-19	1	0	1
1424810248	Facing the Giants	A1E5P898RJPQFH	Amazon Customer	This movie is very moving!  It gets to the heart of what trusting God really means!  I would recommend it to everyone	5.0	Awesome Movie!	2013-07-05	1	0	1
1424810248	Facing the Giants	A18FWXH38GAW8P	Amazon Customer	Where can I begin?  This movie is awesome.  Christian or non-Christian, you can't helped but be moved by this movie.  The plot, the characters, the message,  everything is just great.  God truly had a hand in this movie.  I can't wait to get the DVD so that I can watch it over and over.  My eight year old son sat and watched the movie as if he was glued to the screen.  Get the movie.  Watch it with your family.  God will change your life.  Check out Flywheel as well.	5.0	With  God all things are possible	2006-12-02	128	117	11
1424810248	Facing the Giants	AAW69BZLYHMP	Amazon Customer	My family watched the movie...husband needed the kleenex!! Shared it with a large group of boy scouts and was well received by them, the scoutmasters, leaders and parents.	4.0	Great family movie	2007-03-21	3	2	1
