asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
079074404X	Forbidden Planet [VHS]	A3L0KHKT4H7XWO	071909	Rec'd DVD in excellent condition and reviewed vidio twie without any oriblem.Forbidden Planet is a movie I saw with my fother when I was a kid.  It has fond memories for me.I rate this seller excellent.  I rec'd the DVD in a timely mannor.Sincerely071909	4.0	DVD for Forbidden Planet	2012-10-16	2	0	2
079074404X	Forbidden Planet [VHS]	A346YDATPCLCWB	"1 ""1"""	There is nothing wrong with this version of the film.  The second disc is unnecessary unless you are a real SciFi fan and need more fix.  The quality of the sound and picture is clear and excellent.  A one disc version would probably be adequate for most.	5.0	Better than when I saw it in the theater	2011-09-28	3	2	1
079074404X	Forbidden Planet [VHS]	A1166FE81ADOUR	50s sci-fi Fan	"Forbidden Planet still excites me, even though I saw it as new in the 1950s. This is no kid matinee offering despite flyung saucers, ray guns and robot...although Robbie is a loveible character with one of the great lines in Sci-Fi: ""I rarely use it myself, Sir. It promotes rust!""  when Adams remarks on the high oxygen content of Altair 4's atmosphere.The film is a big influence on Star Wars: George Lucas watched it constantly when writing the script and Star Trek, too. Gene Roddenberry even gave the Enterprise starship the Pennant Number 1701, the time Addams ship entered the atmostshere of Altair 4.I never tire of the psychological aspect of this film and the way Morbius learns to his cost that a million years of shining sanity can not protect the Krel from the monsters from the Id.&lt;Anne Francis (September 16, 1930 - January 2, 2011). Thank you for the happy memories of the best sci-fi film I've known.>"	5.0	A Gem 0f 1950s Sci-Fi	2009-01-15	0	0	0
079074404X	Forbidden Planet [VHS]	A3DGB4HN3QCGAL	A. Burchfield	"I'd seen this movie on TV a few times over the years and always meant to get myself a copy. The story does have it's plot holes but is still one of the best scifi movies out there, even if it is 50 years old now. Most of the movie actually makes sense! In one scene there's a hologram of Morbius' daughter Alta- it wasn't called a hologram (and wasn't due to be invented for years yet) but that's just a small example of the vision they had in creating this thing. Almost the only appearance complaint even after all this time is the look of some of the outdoors shots and a few of the Krell equipment scenes (in those days it was all handwork and models, no computer effects, so it all looks very well indeed).Any collection of science fiction ought to have it, maybe any film collection period.The Ultimate Collector's Edition came out recently so I decided to get that. The movie is supposed to have been remastered, the sound is great but I thought I saw a little color shifting sometimes, like the color adjustments weren't perfectly even. I didn't like ""The Invisible Boy"" very much (I think I saw part of it on TV years ago)- kind of a 12 year olds plotline, the Thin Man TV appearance of the Robot was more interesting. Forbidden Planet itself is the only thing on either disc that is captioned or subtitled- would've been nice to have that on some of the extra's.It was interesting to see how many of the cast/crew are still living- including the robot creator and the wife of the husband/wife sound FX team. Some of the deleted scenes and lost footage (most of this was just test shots) looked very interesting but none of that stuff was restored- some of it looked like it was a worn video of a worn piece of film it was so fuzzy or scratchy."	4.0	It belongs in any SciFi collection	2006-12-05	5	5	0
079074404X	Forbidden Planet [VHS]	A32GOLE5UGL7OM	adhack	You have to think about when it was made. Special effects are stunning for the time. Flying saucer is super. Robot was the mold for all others since. Cast/Acting was good, but a little stilted due to the pacing of movies of that date. Story was great. Consider the nothing stories since in SiFi. Sound and music was absolutely incredible.	5.0	Top 10 SiFi movie of all time.	2014-03-12	0	0	0
079074404X	Forbidden Planet [VHS]	A26IOTP509MWR4	Adrian Ruddle	A true classic!! It's interesting to look back at the early science fiction writers (mostly scientist)  and see what they envisioned for the future..concepts often realized! Equally impressive is the conceptualization by Hollywood...	5.0	Classic	2013-05-29	1	0	1
079074404X	Forbidden Planet [VHS]	ARINNYYWSVIIF	Afan	Of course you can buy this DVD for $6 USD on Amazon.co.uk[??]You'll need an all region player, but consider the savings onthe cost of US DVDs and its worth it!	5.0	How are these DVDs priced?	2010-06-20	2	0	2
079074404X	Forbidden Planet [VHS]	A2OZBJ58CML9OS	A. Gammill	"Despite the proliferation of sci-fi movies in the Fab Fifties, the truth is, only a handful of films rose above the genre's b-movie budgets and drive-in mentality.  In an age where giant radioactive monsters attacked, and stalwart scientist/heroes battled alien menaces, Forbidden Planet stands proud as an ""A"" picture: A handsomely-mounted interstellar adventure filled with intelligence, wit and wonder.Now's it's the 50th anniversary of this landmark MGM masterpiece, and sci-fi fans (and movie lovers in general) are being rewarded with this deluxe 2-disc release.  You can give that previous ""bare bones"" DVD release to a friend, THIS is Forbidden Planet restored to its Cinescope glory, complete with 5.1 sound.  No matter how many times you've seen it (I estimate having seen it myself at least 30 times over the years), you haven't seen the film look this good.""Amazing! Exploring the Far Reaches of Forbidden Planet"" is a great documentary, in which we are fortunate to see many surviving cast members.  Leslie Nielsen, Anne Francis, Richard Anderson and others offer their memories of the production.  You'll learn how the ""id monster"" was created, and see Bebe Barron discuss the film's ""electronic tonalities.""  There's also a fun featurette on the creation and cultural impact of Robby the Robot.  ""Watch the Skies,"" a documentary which originally aired on TCM, offers a survey of fifites science fiction.Now, all that would be enough to satisfy most fans.  But MGM goes the extra mile with MORE features.  Most impressive is the inclusion of the 1957 follow-up film THE INVISIBLE BOY, featuring much of the Forbidden Plaent creative team and, of course, Robby the Robot.  It's an often-overlooked sci-fi/fantasy film about Robby's friendship with a boy (whose father could seriously use a parenting class).  There's also an episode of the 50's t.v. series ""The Thin Man,"" featuring Robby, a clip from ""MGM Parade"" with Robby and Walter Pidgeon, and a collection of other Warner Bros. sci-fi movie trailers.Certainly, no fan of fifties science fiction can be without this superb set.  But I encourage even those who aren't familiar with Forbidden Planet to add this to your collection.  It's a deluxe presentation of an acknowledged classic, one you're sure to enjoy for years to come."	5.0	Movies (and DVD's) just don't get much better	2006-11-25	12	11	1
079074404X	Forbidden Planet [VHS]	A30OP0QI4RXVVD	"A. Glatt ""Balloon Maestro"""	The missing footage is not as good as the additional stories about the production,invisible boy and the thin man episode.  It's a product worth the money and I had bought the forbidden planet disc but saw the additional disc and hadn't seen the other movies in a long time.	5.0	very good condition of disc and speedy delivery in only two days.	2012-04-05	1	0	1
079074404X	Forbidden Planet [VHS]	A2S0TZ4S7DEGQ5	Agostino Ambrosio	As Carl Jung once wrote it is not as much as exploring cosmic space that will bring us closer to the real knowledge but more specifically the inner exploration of man itself.  A masterpiece movie that has been greatly underrated and was/remain a strong inspiration for SF movies like Star Trek - especially for the pilot episode. Too bad todays SF movies lack the powerfull sense of mystery that establishes FORBIDDEN PLANET as a landmark.	5.0	A great exploration of  the human mind and soul	2006-03-15	5	4	1
