asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JO20	King Kong (Widescreen Edition)	A1RRBRYPYCM79H	"00Dexter ""00dexter"""	Oh my god !! i just saw this king kong movie and i was....i am spechless this movie is really really bad !!! jackson's king kong is as bad as spaceballs or even worst. giant Bugs?? huge bats that you can fly on them?? make king kong laugh. i read some reviwes !!!! a master piece ???? i would give this movie cero stars if i could. dont waste your time whathincg this movie, instead apreciate jackson's lord of thr rings.. now that is a master piece.	1.0	THE WORST MOVIE MADE !!!	2006-03-31	16	2	14
B00005JO20	King Kong (Widescreen Edition)	A25TSCPWUQX1ZE	1791	I'd seen the theater version years ago and must say the extended cut is much better.  Several scenes in this version didn't appear in the theater released one and they contribute more to the plot by developing deeper character depth.	5.0	Better than the original theater release	2013-11-26	0	0	0
B00005JO20	King Kong (Widescreen Edition)	A3OWMX70M5NXVQ	"Aaron F. ""aaronfissel"""	I went to see this movie four times, during its theater run and everytime I was satisfied with what was shown before me. The cast is great, the special effects are the best of any movie I've seen, and it has a great story.This reincarnation of the 1933 classic is truelly spectacular in many ways. Naomi Watts is the perfect choice for the Ann Darrow character, and Jack Black makes a acceptable Carl Denham. Adrien Brody character I don't care for at all. The true characters of the film are the fifty foot tall gigantic gorilla Kong and Miss Ann Darrow.I always cheer for the powerful King Kong. From his violent battle with the three V-Rex, to his final tragic battle atop the Empire State Building, to his final moments with Ann atop the gigantic building. I love the character of King Kong and I always will.This film pays great tribute to the 1933 classic and gives a great, and entertaining show! I recommend this movie to anyone who is looking for a truelly great film with tons of action, drama, and a giant gorilla. The best film of 2005! No question about it! Kong is King!!!Buy this movie and enjoy it!! It's worth the price and the entertainment!!! :)	5.0	King Kong: The Eighth Wonder of the World!!	2008-07-02	0	0	0
B00005JO20	King Kong (Widescreen Edition)	A24NN1DJGINMRG	Aaron	I won't give a plot synopsis, this is a review of the product. The extra footage and footage quality of this Blu Ray is amazing! It is an instant classic that was done right by Peter, Jack, and Adrian and company. I could talk about this movie all day, what with the breakthrough CGI that really wasn't approached up to this level beforehand... but suffice it to say the Blu Ray does it justice, and the sound is amazing in my home theater.	4.0	I bought this solely for the extra footage and picture quality, since I already own it!	2013-07-24	1	1	0
B00005JO20	King Kong (Widescreen Edition)	A26AMW7NJ7ZV6K	Aaron J. Wiegand	This was on of the worst movies I have ever seen in my life.  The best part of the movie was when the usher had to kick out some unruly teens.  To think about it they were the smart ones.  They paid $9 to see only half of a crappy movie, I had to pay $9 to sit through a 3 hour snoozer.  The whole s@#& on the island did not need to be in the movie.  DAMN I HATE THIS MOVIE!!!!	1.0	0 Stars if Possible...  Just Plain Sucks	2006-02-22	55	11	44
B00005JO20	King Kong (Widescreen Edition)	A32EBQDMOPEJHE	"Aaron L. Shaw ""Casual Reviewer"""	This Movie's release date has not happened yet.  There is not one review by the press online for it at this point.  Press are the first to have a crack at a movie.  Do not believe any reviews of this film until about December 13th.  It will be released to the general public (the people who write reviews on Amazon)on December 14th.  Sorry to break it to you.  Hope this helps.	5.0	Don't Believe Reviews until Dec. 14th.	2005-11-29	4	0	4
B00005JO20	King Kong (Widescreen Edition)	A35R8PJSEURHHF	Aaron Merkel	They should have just made this a miniseries and then they would have been able to have more side stories and characters that they seemed to want.  BUT, they put it all in one movie.  Overall, good movie, there are some tense moments (dinosaur chase, bug attack)..and it all reminded me of Jurrassic Park.  King Kong was animated really well, but everything else was kind of wierd looking and you could tell it was green screen behind them (but I guess that's what they were looking for).  You may find yourself forwarding most scenes just to get through this without going crazy.  Recommend - - but forward through slow parts.	4.0	Kong, the Miniseries	2006-04-03	7	2	5
B00005JO20	King Kong (Widescreen Edition)	A3DQECW1PRP52C	Aaron Shepard	Though I loved The Lord of the Rings, I almost skipped this movie when it came out in theaters. Instead, I saw it and spent half the time with my jaw dropped in amazement. When it finished, I could only sit there and realize I'd seen one of the great movies of all time. I felt grateful to have lived to see it.	5.0	Completely unexpected.	2006-11-27	8	4	4
B00005JO20	King Kong (Widescreen Edition)	A3HQXFLZ6WI70Q	Abdul Fazrul	3 hours and 20 minutes!!! But all of it totally worth it. I wish they put more into the exploration of the island into the movie, even if it meant a 4 hour movie. BD quality was awesome. Buy it.	5.0	Awesome and it should have been longer	2010-06-06	3	1	2
B00005JO20	King Kong (Widescreen Edition)	A2ETWA2I83MZGE	"ABI ALY ""DAVE"""	Some movies have implausible plots that can often be overlooked,but when they get too far-fetched,they spoil the whole movie.KING KONG has these which reduce the overall continuity of the film.In comparison with the classic 1933 version,this remake undoubtedly excels in almost every aspect of movie making.Yet it has some distinct plot holes :1. The tribal native vaulting from pole to pole over a series  of broken headlands in  bad weather at night,kidnapping the lead actress from the ship and carrying her back to the land.Seeing that the poles are stuck to the sea bed,it is hard to believe that a pole can be THAT long.All the more implausible is the way the native returns from the ship,with the victim, to the land.The 1933 version has the natives use a boat and jump onto the ship to kidnap the lead actress. This is plausible.2.  The surviving expedition crew hauling the drugged Kong up  onto the ship.With only few survivors left alive and without any possible aid from the hostile natives,how do they do that ?In the 1933 version,Kong is said to be brought to the ship on a makeshift raft and besides,there are also the natives who might have given help.Quite convincing.3.  Kong being chained and exhibited in the concert hall.The building must have been built before Kong is brought  back to New York.So,how do the people get Kong inside it ? How HUGE can the hall entrance be considering the location of the hall in the city center ?There is not any depiction of any rear or special entrance from where Kong is brought in. The 1933 version has it. Clever.Were this the 1933 version,I would compromise.But being a 2005 remake,these should have been made more convincing.That said,the 2005 version has proven that not all remakes are  worse than the original.KING KONG will become a FUTURE classic just as the 1933 version has.	4.0	One enjoyably entertaining remake with some plot holes	2006-07-05	8	6	2
B00005JO20	King Kong (Widescreen Edition)	A10NQID66N2RZ0	Abubakar Salisu	The effects are fantastic!!! My kids and I loved watching it! Only the movie came after a lot of delay.Abubakar Salisu	5.0	King Kong-Review	2006-11-10	10	3	7
B00005JO20	King Kong (Widescreen Edition)	A3DGB4HN3QCGAL	A. Burchfield	I didn't really mind the length and thought the plot was pretty well laid out, the casting good too. The movie at just over three hours may have hurt it in this short attention span world but what is there to cut?I don't know if I've ever seen the original so I can't really compare the two but Jackson's Kong was well written, the sets were great (apparently none of the story really filmed in New York)and most of the computer generated effects were top quality (I did think some of the dinosaurs didn't look quite right). I liked the characterization of Kong as an old, beat up, Gorilla.I just have a few complaints;#1 What happened to the natives?, you never see them after they offer Ann up to Kong. All the time the story spends on the island and you learn nothing much about them.#2 The 'native' part of the island looks almost as fake, sometimes, as I remember the sets looking in the original, most of the story apears to have been shot somewhere real.#3 Between Kong's capture (even if the ship's crew made their living capturing wild animals why'd they have so many gallons of chloroform- more than enough for Kong even)and the show in New York, where's the story? Not even a line about it except for a bit about Ann not working for Jack Black's character.#4 Kong's weight and emotions. A 25ft. Gorilla would surely weigh in at 25 tons yet Kong would climb/sit on things as if he weighed a real world gorilla weight. Do real Gorilla's laugh or smile? I didn't mind it but I'm not sure that they do.This movie is worth seeing and owning, I'll be getting a copy the next time I order DVD's I think.	4.0	Long but better than many that last half as long	2006-05-21	6	2	4
B00005JO20	King Kong (Widescreen Edition)	A29FUUTYWJGVZT	A. Butler	This is the movie to get if you want to show off your new HD DVD player and HDTV. The visuals in this movie when put on HD DVD are stunning. I would give this a 12 out of 5 if I could.	5.0	Showoff your HD DVD Player/TV	2007-09-23	0	0	0
