asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0000INU6S	LeapFrog: Letter Factory	A1JZH8PYQ0WYT2	2006harvestmoon	I don't know what it is about this DVD exactly, probably the catchy tunes but it has captivated both my kids at a young age.  Usually my children were more drawn to puppet/character shows like Sesame St. or Blues Clues with real people in it but this one is cartoon and they both loved it. They learned phonics quite early and would sing the tunes from the dvd all day!	5.0	Both of my Childrens Favorite DVD at ages 1-3 years old!!	2013-05-29	0	0	0
B0000INU6S	LeapFrog: Letter Factory	ADUZNIFG18085	2Boys	"This is an entertaining and educational DVD that my boys love to watch!  The only down side is that is doesn't mention the c says the ""k"" and ""s"" sound and that vowels have 2 sounds.  Maybe the vowels would be too confusing for this video though.  I still give it 5 stars because I think this is a creative and fun way to teach preschoolers alphabet sounds."	5.0	The kids love it!	2006-12-31	0	0	0
B0000INU6S	LeapFrog: Letter Factory	A3M1DG8BCK852P	2BoysMom	My son loves this video and it helped him learn his alphabet very quickly.  I liked it so much that I bought more for friends that had kids his age (he started watching it when he was 2 1/2 - now he's 4 and still likes it).	5.0	Great video for kids	2013-10-02	0	0	0
B0000INU6S	LeapFrog: Letter Factory	A1E2SNS80G5TPL	2 great kids	My son is almost 5 and he has very little interest in learning his ABC's and 123's.  He would much rather play on the computer, ride his bike, or pretend he is a superhero.  The videos sat there after Christmas for a few days until he tried everything else out that he had got and now he watches them all day long.  One after another and he keeps amazing me how he knows his the sound for V or R.  He feels so smart now and these videos have made it so fun.  Even with a interactive game on the DVD too.  He loves it and I love that he is learning.	5.0	Best gifts this year	2006-01-12	1	1	0
B0000INU6S	LeapFrog: Letter Factory	A111K9LFJ4S7H6	4mykids	Great dvd!!! My child loves it!!! It keeps him wanting to learn more. I recommend the entire series of leap frog. This is one great product!!! My child who is speech delayed is now sounding out letters and his vocab has improved immensly. Im proud parent to purchase this for my child.	5.0	Got To HAVE IT!!!!	2010-07-26	0	0	0
B0000INU6S	LeapFrog: Letter Factory	A1JAJGMDEDDQH8	7676	I got this video when my son was 1 1/2 years old.  He is almost 3 now and still loves it.  My son knew what all the letter said ( sounded like ) before he could name the alphabet :)	5.0	Keeps his attention	2012-12-18	0	0	0
B0000INU6S	LeapFrog: Letter Factory	A391N6Z17MTNWM	A. Albarq	I'm a teacher , and i used this DVD for my students , they loved it and they gazed on the screen during the show time.. and they asked me to repeat it again and againperfect in teaching phonics and vocabulary , i love to watch it too .	5.0	Excellent	2008-08-23	0	0	0
B0000INU6S	LeapFrog: Letter Factory	A1LGNJITM3NCXJ	A. Aldridge	My 3 year old daughter has learned most of her letters and some of her sounds from this DVD and we have only had it about two weeks.  My 6 year old son also enjoys watching it with her.  It is good review for him.  A wonderful mix of learning and entertainment in one DVD!	5.0	Great for learning letters and their sounds!!	2006-04-01	1	1	0
B0000INU6S	LeapFrog: Letter Factory	A11CUSIJDNG0Y2	A. Artman	We purchased this dvd for our 17 month old.  She was very familiar with the alphabet and could recognize all the letters.  With the help of this video and our own help while reading, she knew all the sounds of each and every letter in one week.  We were amazed that she caught on so quickly.	5.0	DON'T HESITATE, BUY THIS DVD	2007-12-09	2	2	0
B0000INU6S	LeapFrog: Letter Factory	A1AAU41P7QGYJ0	Abinormal	So far I have yet to find a leap frog product I don't like. This video is cute, simple and keeps my daughter's attention. She's still a little young for it but I figure any exposure to the alphabet and words is good.	5.0	Really cute!	2011-08-17	0	0	0
