asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JLET	Spirited Away [VHS]	A2BN3YSF6HXJ2	23 Charters	This movie is fairly simple to recommend when you consider that it's well known.  I consider it to be essential to my collection.  It's kind of like the story of a child who grows into a more mature understanding of life through a series of magical events.  She has to ask for a job in a bathhouse for spirits and the manager has to give her one.  A lot of it is kind of funny as well as profound.	4.0	high quality anime	2009-09-14	0	0	0
B00005JLET	Spirited Away [VHS]	AD8JQJ5KQGK1D	&#34;GOOD&#34; Movie Lover	Miyazaki's animated movie SPIRITED AWAY is an entertaining story about a modern day young Japanese girl who gets caught up by accident between the world of the living and the spirit world. This young girl learns how to grow up in a hurry and also learns to be able to stand up for herself.  The story includes lessons about trust friendship and using one's wit.  Some very imaginative spirits are found in this story-some from Japanese folklore. Very young children may find this story a bit too scary, but older children and adults (I'm an adult and I liked it!) should enjoy this animated feature. Lots of fun!	5.0	SPIRITED AWAY	2009-10-14	0	0	0
B00005JLET	Spirited Away [VHS]	APRAW5KTC5L31	)&#62;-T-O-O-L-&#60;(	"I thought this movie was obnoxious. Maybe its meaning was lost in translation from Japanese to English, however, its the director's responsiblity to make sure that does not happen.I thought that maybe my presupposition was a little uncultivated, so I resorted to independent arguments from friends. They, for the most part, felt inebriated and uninterested in the first 15 minutes of the film. Even though they were the ones who labored through the entire insane, prosaic, and venal ""toon"", they felt that I should reimburse them for the time that they wasted when each one of them would have been better off shaving their hairy asses with toothpaste and a butter knife....  Anyways, I just glanced over some of the reviews and was dumbfounded at the rave reviews that people gave this movie. I still shiver when I see the front cover of this movie anywhere..... I keep telling myself ""Don't worry, go to your happy place.... You don't have to go through that again"".I am an addict when it comes to Anime. My favorite movies are Ghost in the Shell and Akira, so its not that I don't like Japanese animation, I just do not like to watch bogus fragments of someones feebleminded imagination."	1.0	This movie hurts	2005-03-02	72	5	67
B00005JLET	Spirited Away [VHS]	A1RNLPUDOD5ZNG	A. Banaag	"This movie ROCKS A$$! I bought this for my B.F. as a B-day present this year and I loved it! The movie's about a young girl who is moving to a new house in a new city away from everything she's ever known. Not until her parents take an unexpected turn which was 'supposedly' supposed to lead them to their new home. Wrong. It actually leads them to an 'abandoned' train station next to an old theme park. The girl wants to go back, but he parents find an empty restaurant filled with delicious food, and insist to stay. While her parents eat, she explores Ther are empty buildings all around her, and she comes across a bath house. A boy sees her and tells her to take her parents and leave befor the sun sets. She does so, but not in time. She returns to the restaurant and finds that her parents turned into PIGS! They get taken away, and she runs back to the train station. Only she reaches a river that was not there when they first arrived. So she had to stay in this magical world she got shoved into, and takes a job at the bath house, where she tries to fet her parents back into humans. Not so easy.This movie is really great and really captures its viewers. It has a slight resemblance to 'Alice in Wonderland', and the ending is awesome. I really love the characters, especially the baby when it gets turned into a mouse. The movie has wonderful animation and music. Everyone should love this movie. Or you can ""PLAY WITH ME OR I'LL BREAK YOUR ARM."""	5.0	"""Ah. Ah."""	2004-09-17	2	1	1
B00005JLET	Spirited Away [VHS]	A1T2FIKILP51CW	Abby	I used to watch this movie when I was little but I could never find it in stores. The quality is amazing and I have always loved the story line.	5.0	amazing	2014-02-07	0	0	0
B00005JLET	Spirited Away [VHS]	A35EFSZUPF1SHU	"Abdulla D JA ""adm"""	This anime is not only for animation's fans, but for everybody. you can sit and watch it with your family. Very nice story and fantastic senarios. Don't miss it.	5.0	This anime is not only for animation's fans, but for everybody.	2009-10-05	0	0	0
B00005JLET	Spirited Away [VHS]	A1OT7DSRMJ8PSK	ACD	It's difficult to write a review of a film that both confounds and enlightens. Hayao Miyazaki once again literally &#34;spirits&#34; us away in this fanciful tale. In stark contrast to most modern animated family flicks, our heroine is not a cheerful cookie cutter girl, but rather a somewhat sullen soul much unfit to be the lead character. But what we find is that Miyazaki finds true beauty in the details rather than the action. It is the little moving parts throughout the plot and animation of the movie that make it simply wonderful. In so many ways the story itself is too absurd to make sense, and yet it rests in your mind like it is perfectly meant to be. His diligence to every detail of the animation is so painstakingly absurd that it becomes it's own thing of beauty. Much like the heroine, Sen's, journey; she wins us over through her determination. Miyazaki proves that a movie can be so much more than a good plot, great action, or a good cast. The movie does contain all three, but in so many ways he strips away the focus of what we normally go to the movies to see and submits to us an opportunity to allow our own imagination get caught up in the small details the form together a beautiful scene that could have never created without the collected creativity of individual viewer. I would highly recommend this film, especially if you have any interest in iconic cinema.	5.0	Spectacularly Brilliant	2013-12-20	0	0	0
B00005JLET	Spirited Away [VHS]	A3PCC8VFK0ML7L	achtung	"""Spirited Away"" is nothing short of a modern classic in a time when new true classics are hard to come by. It's very inspiring and ambitious, while being beautiful and touching at the same time. The movie centers around a little girl who has been forced to work in a bathhouse that serves spirits in order to save her parents from their awful fate that has been brought upon them. However, she makes plenty of new friends along the way, and these supporting characters are just as intriguing as the main character herself. Add upon this the beautiful score and theme song and you have a movie destined to last. The story takes many twists and turns, but it shouldn't be too hard to follow for most people.As for the special features on the DVD, they really give a fantastic insight into how much labor it required to produce this movie. The ""Making Of"" documentary is very satisfying and leaves very few aspects about the making of the movie untouched. The ""Behind the Microphone"" extra introduces you to the voice actors that took part in the English-translated version of the film, and ""The Art of Spirited Away"" displays the effort that was put forth in producing this movie for an American audience. There's also a feature where you can take a peak at the storyboards for the first scene of the film while the audio track plays underneath. The only feature that's not particularly worthwhile are the Japanese trailers. Admittingly, some of these are very very good. However, some are just too similar to each other and it becomes very tedious to watch these for 30 minutes straight. In any case, the special features are very informative and accomplish their task in giving insight to the making of the film.This movie is not just for kids, but I'd recommend this to families who might be looking for a new movie that they could watch together."	5.0	A DVD worthy of the movie.	2005-05-01	2	2	0
B00005JLET	Spirited Away [VHS]	A20P9G4ZXZRA7A	A Customer	This has got to be one of my favorite Miyazaki films. Spirited Away tells the story of Chihiro, a young girl who gets trapped in bathhouse run by spirits and must rescue her parents (who in true Miyazaki fashion, have been transformed into pigs) before she can escape. The only one who can help her, Haku, is the one she cannot trust.This beautiful masterpiece is a reflection of Japan. Chihiro's relationship with her parents comments on the struggle between the upcoming generation and that of the 60's and 70's during a time of economic downturn. The film also explores greed and corruption, and the destruction that naturally results from it. The spirit No Face tries to seduce Chihiro into taking his gold, but she refuses because she is trying to save Haku. We see the importance of not relying on appearances to shape our understanding of someone. Yubaba's twin sister, although just as ugly as her mean-spirited sister, is kind and recognizes the importance of friendship and love. Although Chihiro's name has been stolen by Yubaba, she still finds her identity and succeeds in surviving the danger she has been thrust into, an unexpected commentary on Japan's identity.This film easily deserves the 2003 Academy Award it won for best animated film. Although sometimes strange and confusing, the story is worth watching and worth reflecting on, even if you have to watch it more than once to understand it.	5.0	A heartwarming film for the whole family	2011-05-10	0	0	0
B00005JLET	Spirited Away [VHS]	A1GGDXLMQX196D	Adam D Clarke	I rented this movie on hearing that it was supposed to be good. I was a big fan of anime in my high school days and have kind oif gotten out of that loop. My general disappointment with most anime is that translation is bad and before DVD usually all you could get was the English dub. Then usually the English dubs are terrible. I was veryimpresed though with the ability to view the film in both english and japanese with english subtitles. Also, the English dub is rather impressive. It almost word for word matches the Japanese subtutles and takes a little bit of lisence making the language more natural. The subtitles are very cut and dry. The English language track on the DVD is one of the best I've heard. Disney really went all out on this one. The story is really an amazing one. It's very compelling. One would think that a 2 hour animated film is toomuch but this movie is well worth the 2 hours. It is really a great film. All i can say is wow. Though the second disc of the set is really kind of worthless. There are a couple neat little things but all in all there isn't too much to get excited about, but the movie makes up for it! It's awesome!	5.0	just wow!	2003-05-24	4	4	0
